Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,51.700001,52.029999,51.230000,52.029999,45.604362,3100
2019-04-15,51.930000,52.160000,50.860001,51.000000,44.701565,4700
2019-04-22,51.080002,51.189999,50.320000,50.770000,44.499973,12600
2019-04-29,50.709999,51.169998,50.250000,50.630001,44.377262,3900
2019-05-06,50.419998,50.419998,48.680000,49.450001,43.342991,3300
2019-05-13,48.990002,49.669998,48.990002,49.290001,43.202751,4200
2019-05-20,49.400002,50.029999,48.990002,50.000000,43.825066,4700
2019-05-27,50.000000,50.630001,48.779999,49.020000,42.966099,9300
2019-06-03,49.660000,51.540001,49.570000,51.099998,44.789219,3900
2019-06-10,50.779999,50.799999,50.430000,50.799999,44.526268,4200
2019-06-17,50.520000,51.730000,50.450001,51.730000,45.341415,7600
2019-06-24,51.500000,51.500000,50.610001,50.910000,44.622684,3000
2019-07-01,50.889999,51.720001,50.750000,51.270000,44.938225,2500
2019-07-08,51.000000,51.250000,50.759998,50.860001,44.578857,10400
2019-07-15,50.599998,50.599998,50.080002,50.200001,44.000370,5100
2019-07-22,50.200001,50.200001,49.320000,49.650002,43.518291,7000
2019-07-29,49.799999,49.830002,49.169998,49.240002,43.158920,3900
2019-08-05,49.220001,49.580002,48.560001,49.490002,43.378052,7500
2019-08-12,49.119999,49.330002,48.310001,48.840000,42.808327,9000
2019-08-19,48.590000,48.919998,47.980000,47.980000,42.054531,4800
2019-08-26,48.349998,49.380001,48.349998,49.160000,43.088806,2600
2019-09-02,49.220001,49.970001,49.080002,49.330002,43.237812,4100
2019-09-09,49.180000,50.410000,49.040001,50.169998,43.974068,4900
2019-09-16,50.060001,50.759998,50.000000,50.759998,44.491207,3300
2019-09-23,50.840000,51.070000,50.000000,50.009998,43.833828,20400
2019-09-30,50.200001,50.200001,49.160000,50.139999,43.947773,4000
2019-10-07,50.150002,52.130001,48.000000,49.310001,43.220280,15800
2019-10-14,49.000000,49.200001,48.930000,49.139999,43.071274,10900
2019-10-21,49.310001,49.660000,48.830002,48.830002,42.799561,4800
2019-10-28,48.669998,49.080002,48.060001,49.080002,43.018684,6600
2019-11-04,49.189999,49.220001,48.110001,48.110001,42.168476,4300
2019-11-11,47.970001,48.389999,47.849998,48.360001,42.387604,3600
2019-11-18,48.759998,48.759998,48.049999,48.259998,42.299950,5000
2019-11-25,48.169998,48.330002,48.029999,48.200001,42.247368,3100
2019-12-02,48.230000,49.110001,47.750000,48.980000,42.931034,6000
2019-12-09,49.130001,49.380001,48.770000,49.230000,43.150162,4800
2019-12-16,49.189999,49.939999,49.189999,49.799999,43.649765,4700
2019-12-23,48.500000,48.680000,48.290001,48.680000,42.668083,5300
